COTE;SURFACE;VOLUME
136;613;82600000
136.01;613.28;82664000
136.02;613.56;82728000
136.03;613.84;82792000
136.04;614.12;82856000
136.05;614.4;82920000
136.06;614.68;82984000
136.07;614.96;83048000
136.08;615.24;83112000
136.09;615.52;83176000
136.1;615.8;83240000
136.11;616.08;83304000
136.12;616.36;83368000
136.13;616.64;83432000
136.14;616.92;83496000
136.15;617.2;83560000
136.16;617.48;83624000
136.17;617.76;83688000
136.18;618.04;83752000
136.19;618.32;83816000
136.2;618.6;83880000
136.21;618.88;83944000
136.22;619.16;84008000
136.23;619.44;84072000
136.24;619.72;84136000
136.25;620;84200000
136.26;620.28;84264000
136.27;620.56;84328000
136.28;620.84;84392000
136.29;621.12;84456000
136.3;621.4;84520000
136.31;621.68;84584000
136.32;621.96;84648000
136.33;622.24;84712000
136.34;622.52;84776000
136.35;622.8;84840000
136.36;623.08;84904000
136.37;623.36;84968000
136.38;623.64;85032000
136.39;623.92;85096000
136.4;624.2;85160000
136.41;624.48;85224000
136.42;624.76;85288000
136.43;625.04;85352000
136.44;625.32;85416000
136.45;625.6;85480000
136.46;625.88;85544000
136.47;626.16;85608000
136.48;626.44;85672000
136.49;626.72;85736000
136.5;627;85800000
136.51;627.28;85864000
136.52;627.56;85928000
136.53;627.84;85992000
136.54;628.12;86056000
136.55;628.4;86120000
136.56;628.68;86184000
136.57;628.96;86248000
136.58;629.24;86312000
136.59;629.52;86376000
136.6;629.8;86440000
136.61;630.08;86504000
136.62;630.36;86568000
136.63;630.64;86632000
136.64;630.92;86696000
136.65;631.2;86760000
136.66;631.48;86824000
136.67;631.76;86888000
136.68;632.04;86952000
136.69;632.32;87016000
136.7;632.6;87080000
136.71;632.88;87144000
136.72;633.16;87208000
136.73;633.44;87272000
136.74;633.72;87336000
136.75;634;87400000
136.76;634.28;87464000
136.77;634.56;87528000
136.78;634.84;87592000
136.79;635.12;87656000
136.8;635.4;87720000
136.81;635.68;87784000
136.82;635.96;87848000
136.83;636.24;87912000
136.84;636.52;87976000
136.85;636.8;88040000
136.86;637.08;88104000
136.87;637.36;88168000
136.88;637.64;88232000
136.89;637.92;88296000
136.9;638.2;88360000
136.91;638.48;88424000
136.92;638.76;88488000
136.93;639.04;88552000
136.94;639.32;88616000
136.95;639.6;88680000
136.96;639.88;88744000
136.97;640.16;88808000
136.98;640.44;88872000
136.99;640.72;88936000
137;641;89000000
137.01;641.28;89063000
137.02;641.56;89126000
137.03;641.84;89189000
137.04;642.12;89252000
137.05;642.4;89315000
137.06;642.68;89378000
137.07;642.96;89441000
137.08;643.24;89504000
137.09;643.52;89567000
137.1;643.8;89630000
137.11;644.08;89693000
137.12;644.36;89756000
137.13;644.64;89819000
137.14;644.92;89882000
137.15;645.2;89945000
137.16;645.48;90008000
137.17;645.76;90071000
137.18;646.04;90134000
137.19;646.32;90197000
137.2;646.6;90260000
137.21;646.88;90323000
