CODE_STATION;NOM_STATION;DATE_RELEVE;EVENEMENT;COTE;COTE_UNITE;VOLUME;VOLUME_UNITE;SURFACE;SURFACE_UNITE;DEBIT_IN;DEBIT_IN_UNITE;DEBIT_OUT;DEBIT_OUT_UNITE;EVAPORATION;EVAPORATION_UNITE;PLUVIOMETRIE;PLUVIOMETRIE_UNITE
34              ;Barrage du Salagou;03/03/69;Mise en eau;105,9;m NGF;;;;;;;;;;;66;mm
34              ;Barrage du Salagou;04/03/69;Mise en eau;;m NGF;;;;;;;;;;;13,5;mm
34              ;Barrage du Salagou;05/03/69;Mise en eau;110,2;m NGF;;;;;;;;;;;2,4;mm
34              ;Barrage du Salagou;06/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;07/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;08/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;09/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;10/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;11/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;12/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;13/03/69;Mise en eau;;m NGF;;;;;;;;;;;1,5;mm
34              ;Barrage du Salagou;14/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;15/03/69;Mise en eau;;m NGF;;;;;;;;;;;5,3;mm
34              ;Barrage du Salagou;16/03/69;Mise en eau;;m NGF;;;;;;;;;;;1;mm
34              ;Barrage du Salagou;17/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;18/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;19/03/69;Mise en eau;113,4;m NGF;;;;;;;;;;;0,5;mm
34              ;Barrage du Salagou;20/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;21/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;22/03/69;Mise en eau;;m NGF;;;;;;;;;;;144;mm
34              ;Barrage du Salagou;23/03/69;Mise en eau;;m NGF;;;;;;;;;;;8,2;mm
34              ;Barrage du Salagou;24/03/69;Mise en eau;119,7;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;25/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;26/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;27/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;28/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;29/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;30/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;31/03/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;01/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;02/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;03/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;04/04/69;Mise en eau;;m NGF;;;;;;;;;;;8,5;mm
34              ;Barrage du Salagou;05/04/69;Mise en eau;120,45;m NGF;;;;;;;;;;;42;mm
34              ;Barrage du Salagou;06/04/69;Mise en eau;121,7;m NGF;;;;;;;;;;;7,5;mm
34              ;Barrage du Salagou;07/04/69;Mise en eau;122,15;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;08/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;09/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;10/04/69;Mise en eau;122,5;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;11/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;12/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;13/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;14/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;15/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;16/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;17/04/69;Mise en eau;122,8;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;18/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;19/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
34              ;Barrage du Salagou;20/04/69;Mise en eau;;m NGF;;;;;;;;;;;0;mm
